TOUS MOIS : écoulements mensuels naturels (1916 - 2019)

La Loire à Saumur
Code station;Producteur;Bassin versant (km²);E-mail
L8000020;DREAL Pays-de-Loire;81200;hydrometrie.dreal-pays-de-la-loire@developpement-durable.gouv.fr


Tableau des valeurs mensuelles et annuelles - Q(m3/s);QMAX;1655.57;

Validité;Année;Sept.;Validité;Oct.;Validité;Nov.;Validité;Déc.;Validité;Janv.;Validité;Fév.;Validité;Mars;Validité;Avril;Validité;Mai;Validité;Juin;Validité;Juil.;Validité;Août;Validité;Moy/Total
Station antérieure utilisée-Estimé;1916 - 17;236.23;;320.52;;1064.33;;1484.84;;1475.32;;923.96;;1260.32;;1505;;883.55;;615.77;;390.97;;295.55;;871.11
Station antérieure utilisée-Estimé;1917 - 18;262.93;;358.13;;824.87;;547.26;;1306.48;;530.11;;442.03;;1348.17;;999.58;;310.43;;173.87;;108.16;;600.65
Station antérieure utilisée-Estimé;1918 - 19;137.33;;197;;322.67;;1630.23;;2070.48;;1697.32;;2132.26;;2139.83;;984.94;;262.9;;323.26;;127.29;;999.55
Station antérieure utilisée-Estimé;1919 - 20;109.17;;138.9;;664.9;;1347.74;;1556.29;;640.07;;787.55;;827.5;;354.77;;205.1;;219.94;;130.06;;582.94
Station antérieure utilisée-Estimé;1920 - 21;112.07;;474;;264.17;;322.26;;420.61;;423.5;;223.13;;227;;401.74;;309.93;;107.23;;86.1;;280.38
Station antérieure utilisée-Estimé;1921 - 22;116.37;;74.55;;86.97;;132.19;;463.97;;907.75;;705.48;;2342;;1224.84;;353.43;;201.45;;136.68;;557.52
Station antérieure utilisée-Estimé;1922 - 23;203.27;;263;;770.37;;611.61;;1520.32;;1195.36;;2297.26;;797.17;;556.58;;301.13;;185.06;;120.55;;733.74
Station antérieure utilisée-Estimé;1923 - 24;119.4;;211.71;;750.77;;1726.61;;2280.32;;765.86;;883.87;;829.67;;421.06;;222.87;;154.48;;165.03;;713.19
Station antérieure utilisée-Estimé;1924 - 25;146.6;;344.84;;339.4;;608.19;;370.71;;619.71;;675.52;;758.2;;838.06;;529.43;;352.26;;293.32;;489.13
Station antérieure utilisée-Estimé;1925 - 26;301.7;;351.58;;969.2;;977.58;;1748.06;;2188.93;;877.26;;1013.83;;1622.1;;1374.17;;381.77;;212.65;;992.76
Station antérieure utilisée-Estimé;1926 - 27;165.07;;171.42;;482.13;;709.29;;787.94;;614.43;;2091.61;;1216.17;;639.81;;379.87;;876.45;;699.1;;739.03
Station antérieure utilisée-Estimé;1927 - 28;673.27;;492.03;;918.3;;962.9;;1384.84;;1830;;906.94;;1646;;1481.29;;562.37;;227.39;;162.13;;932.27
Station antérieure utilisée-Estimé;1928 - 29;145.53;;197.06;;812.8;;1233.71;;884.52;;637.14;;518.19;;327.1;;449.61;;506.9;;275.84;;182.13;;513.93
Station antérieure utilisée-Estimé;1929 - 30;97.67;;199.81;;547.2;;1218.39;;1634.84;;993.93;;1500.65;;961.67;;1132.42;;1246.5;;980.65;;500.39;;919.46
Station antérieure utilisée-Estimé;1930 - 31;253.97;;867.32;;2223.67;;1441.45;;1627.42;;1760;;2224.84;;795.33;;1129.35;;535.8;;353.52;;331.65;;1125.44
Station antérieure utilisée-Estimé;1931 - 32;601.27;;289.23;;923.8;;862.13;;986.29;;411.9;;435.55;;1743;;1671.13;;1092.5;;746.1;;342.55;;841.76
Station antérieure utilisée-Estimé;1932 - 33;251.93;;588.16;;628.23;;990.48;;553.29;;810.71;;1024.03;;372.3;;301.84;;252.23;;214.81;;91.52;;505.56
Station antérieure utilisée-Estimé;1933 - 34;94;;655.77;;1098.33;;614.19;;1068.71;;619.43;;1671.68;;981.17;;812.48;;263.27;;157.45;;157.65;;684.17
Station antérieure utilisée-Estimé;1934 - 35;140.17;;164.03;;462.27;;964.06;;1160.81;;1399.11;;1704.52;;1097.67;;858.87;;698.27;;201.71;;153.84;;746.76
Station antérieure utilisée-Estimé;1935 - 36;266.57;;356.32;;1122;;2433.23;;2582.26;;2063.45;;1216.77;;1177.5;;854.19;;677.17;;622.71;;605.9;;1163.8
Station antérieure utilisée-Estimé;1936 - 37;272.97;;283.03;;496.17;;408.32;;543;;1954.82;;2360;;1557.5;;1120.97;;599.8;;281.87;;173.71;;829.66
Station antérieure utilisée-Estimé;1937 - 38;177.47;;213.87;;576.97;;1007.16;;955;;1102.86;;467.58;;250.33;;226.74;;268.63;;275.81;;172.1;;471.09
Station antérieure utilisée-Estimé;1938 - 39;286.6;;340.1;;446.83;;814.19;;2054.84;;1249.46;;1392.58;;1182.17;;900.65;;404.7;;287;;230.71;;797.85
Station antérieure utilisée-Estimé;1939 - 40;257.07;;594.35;;2020.67;;1326.45;;881.13;;2360;;974.68;;1100.33;;1677.58;;481.47;;470.16;;248.74;;1026.21
Station antérieure utilisée-Estimé;1940 - 41;213.8;;572.87;;811.3;;1215.52;;2127.74;;2803.57;;1273.39;;1242;;754.68;;947.2;;335.1;;324.65;;1040.14
Station antérieure utilisée-Estimé;1941 - 42;259.83;;216.52;;665.57;;582.48;;792.71;;1363.21;;1970.97;;682;;417.77;;352.4;;193.48;;119.97;;630.34
Station antérieure utilisée-Estimé;1942 - 43;108.77;;171.19;;574.4;;369.55;;1393.65;;935.89;;403.77;;275.17;;260.9;;142.13;;100.52;;85.77;;398.81
Station antérieure utilisée-Estimé;1943 - 44;86.57;;284.81;;710.2;;861.94;;505.23;;778.17;;630.68;;471.57;;253;;124.63;;166.23;;118.35;;414.71
Station antérieure utilisée-Estimé;1944 - 45;251.37;;750.23;;1931.67;;2383.23;;928.55;;2521.43;;625.16;;357.13;;235.23;;207;;114.19;;83.16;;854.05
Station antérieure utilisée-Estimé;1945 - 46;103.5;;108.74;;155.47;;286.23;;378.81;;711.07;;801.13;;291.3;;469.81;;625.97;;193.42;;89.48;;348.91
Station antérieure utilisée-Estimé;1946 - 47;112;;104.58;;129.23;;333.13;;600.52;;674.61;;1357.9;;924.97;;356.84;;211.5;;127.32;;101.13;;418.2
Station antérieure utilisée-Estimé;1947 - 48;91.47;;84.87;;133.63;;276;;1085.48;;1011.24;;340.58;;291.67;;459.77;;394.33;;188.68;;164.35;;375
Station antérieure utilisée-Estimé;1948 - 49;213.6;;123.58;;179.4;;211.32;;382.71;;254.93;;290.87;;176.43;;127;;209.17;;80.13;;52.52;;191.25
Station antérieure utilisée-Estimé;1949 - 50;63.87;;78.16;;299.7;;630.13;;490.65;;1075.57;;556.77;;550.33;;477.23;;263.93;;134.84;;80.32;;387.24
Station antérieure utilisée-Estimé;1950 - 51;95.03;;95.77;;585.47;;1314.19;;1222.58;;1396.61;;1639.03;;1079;;892.74;;1268.17;;549.97;;281.74;;865.24
Station antérieure utilisée-Estimé;1951 - 52;205;;174.39;;847.97;;673.71;;1462.42;;1832.76;;1217.9;;1237.17;;459.77;;185.9;;99.94;;82.68;;701.44
